"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 14 23:55:56 YEKT 2021","Thu Oct 14 23:56:28 YEKT 2021","31930","","com.geekbrains.lesson6.CreateProjectTest","","com.geekbrains.lesson6.CreateProjectTest","createProjectTest","createProjectTest()","Тест создания проекта"
"passed","Thu Oct 14 23:51:50 YEKT 2021","Thu Oct 14 23:51:50 YEKT 2021","4","","com.geekbrains.AppTest","","com.geekbrains.AppTest","shouldAnswerWithTrue2","shouldAnswerWithTrue2()",""
"passed","Thu Oct 14 23:51:53 YEKT 2021","Thu Oct 14 23:51:53 YEKT 2021","21","","com.geekbrains.lesson4.BoxTest.WhenIsEmpty.WhenWithBalls","","com.geekbrains.lesson4.BoxTest$WhenIsEmpty$WhenWithBalls","removeBallFromBoxWithBalls","removeBallFromBoxWithBalls()","Удалить мяч из коробки с мячами"
"passed","Thu Oct 14 23:51:55 YEKT 2021","Thu Oct 14 23:51:55 YEKT 2021","5","","com.geekbrains.lesson4.FunctionsTest","","com.geekbrains.lesson4.FunctionsTest","isNumberPrimeTest","[3] 7",""
"passed","Thu Oct 14 23:55:18 YEKT 2021","Thu Oct 14 23:55:32 YEKT 2021","13348","","com.geekbrains.lesson5.JSExecutorExampleTest","","com.geekbrains.lesson5.JSExecutorExampleTest","jsExecuteTest","jsExecuteTest()",""
"skipped","Thu Oct 14 23:56:54 YEKT 2021","Thu Oct 14 23:56:54 YEKT 2021","0","","com.geekbrains.lesson6.LoginTest","","com.geekbrains.lesson6.LoginTest","createExpensesTest","createExpensesTest()","Тест создания заявки на расход"
"passed","Thu Oct 14 23:56:28 YEKT 2021","Thu Oct 14 23:56:54 YEKT 2021","25717","","com.geekbrains.lesson6.Login2Test","","com.geekbrains.lesson6.Login2Test","loginTest","loginTest()","Тест создания заявки на расход"
"skipped","Thu Oct 14 23:51:52 YEKT 2021","Thu Oct 14 23:51:52 YEKT 2021","22","","com.geekbrains.lesson4.AssumptionsExamplesTest","","com.geekbrains.lesson4.AssumptionsExamplesTest","trueAssumption","trueAssumption()",""
"passed","Thu Oct 14 23:51:55 YEKT 2021","Thu Oct 14 23:51:55 YEKT 2021","9","","com.geekbrains.lesson4.FunctionsTest","","com.geekbrains.lesson4.FunctionsTest","isNumberPrimeTest","[2] 3",""
"passed","Thu Oct 14 23:55:32 YEKT 2021","Thu Oct 14 23:55:56 YEKT 2021","24124","","com.geekbrains.lesson6.CreateContactTest","","com.geekbrains.lesson6.CreateContactTest","createContactTest","createContactTest()",""
"passed","Thu Oct 14 23:51:53 YEKT 2021","Thu Oct 14 23:51:53 YEKT 2021","21","","com.geekbrains.lesson4.BoxTest.WhenIsEmpty","","com.geekbrains.lesson4.BoxTest$WhenIsEmpty","addBallTest","addBallTest()","Добавить мяч в коробку"
"passed","Thu Oct 14 23:52:22 YEKT 2021","Thu Oct 14 23:52:37 YEKT 2021","14988","","com.geekbrains.lesson5.ActionsExamplesTest","","com.geekbrains.lesson5.ActionsExamplesTest","checkRowColorChangesAfterCheckBoxClickTest","checkRowColorChangesAfterCheckBoxClickTest()",""
"passed","Thu Oct 14 23:53:15 YEKT 2021","Thu Oct 14 23:53:40 YEKT 2021","24901","","com.geekbrains.lesson5.Homework.CreateContactTest","","com.geekbrains.lesson5.Homework.CreateContactTest","createContactPositiveTest","createContactPositiveTest()",""
"passed","Thu Oct 14 23:51:50 YEKT 2021","Thu Oct 14 23:51:50 YEKT 2021","3","","com.geekbrains.IntegrationTest","","com.geekbrains.IntegrationTest","shouldAnswerWithTrue1","shouldAnswerWithTrue1()",""
"passed","Thu Oct 14 23:51:50 YEKT 2021","Thu Oct 14 23:51:52 YEKT 2021","1646","","com.geekbrains.lesson4.AssertJExamplesTest","","com.geekbrains.lesson4.AssertJExamplesTest","collectionAssertJTest","collectionAssertJTest()",""
"passed","Thu Oct 14 23:51:50 YEKT 2021","Thu Oct 14 23:51:50 YEKT 2021","32","","com.geekbrains.IntegrationTest","","com.geekbrains.IntegrationTest","shouldAnswerWithTrue2","shouldAnswerWithTrue2()",""
"passed","Thu Oct 14 23:51:52 YEKT 2021","Thu Oct 14 23:51:53 YEKT 2021","160","","com.geekbrains.lesson4.BoxTest.WhenIsEmpty","","com.geekbrains.lesson4.BoxTest$WhenIsEmpty","shuffleEmptyBoxTest","shuffleEmptyBoxTest()","Перемешать мячи в коробке"
"passed","Thu Oct 14 23:51:55 YEKT 2021","Thu Oct 14 23:51:55 YEKT 2021","3","","com.geekbrains.lesson4.Homework.TriangleSquareCalculationTest","","com.geekbrains.lesson4.Homework.TriangleSquareCalculationTest","positiveSquareCalcTest","positiveSquareCalcTest()",""
"passed","Thu Oct 14 23:51:55 YEKT 2021","Thu Oct 14 23:51:55 YEKT 2021","14","","com.geekbrains.lesson4.Homework.TriangleSquareCalculationTest","","com.geekbrains.lesson4.Homework.TriangleSquareCalculationTest","negativeSquareCalcTest","negativeSquareCalcTest()",""
"passed","Thu Oct 14 23:51:54 YEKT 2021","Thu Oct 14 23:51:54 YEKT 2021","15","","com.geekbrains.lesson4.FunctionsTest","","com.geekbrains.lesson4.FunctionsTest","isNumberPrimeTest2","[3] 4, false",""
"passed","Thu Oct 14 23:51:55 YEKT 2021","Thu Oct 14 23:51:55 YEKT 2021","9","","com.geekbrains.lesson4.FunctionsTest","","com.geekbrains.lesson4.FunctionsTest","objectAsExampleTest","[1] Cat{age=10, name='moris'}, true",""
"passed","Thu Oct 14 23:54:45 YEKT 2021","Thu Oct 14 23:55:18 YEKT 2021","33708","","com.geekbrains.lesson5.Homework.CreateProjectTest","","com.geekbrains.lesson5.Homework.CreateProjectTest","projectNameInUseTest","projectNameInUseTest()",""
"passed","Thu Oct 14 23:51:52 YEKT 2021","Thu Oct 14 23:51:52 YEKT 2021","4","","com.geekbrains.lesson4.AssumptionsExamplesTest","","com.geekbrains.lesson4.AssumptionsExamplesTest","trueAssumption2","trueAssumption2()",""
"passed","Thu Oct 14 23:53:01 YEKT 2021","Thu Oct 14 23:53:15 YEKT 2021","14298","","com.geekbrains.lesson5.CookiesExampleTest","","com.geekbrains.lesson5.CookiesExampleTest","loginToDiaryWithCookieTest","loginToDiaryWithCookieTest()",""
"passed","Thu Oct 14 23:52:37 YEKT 2021","Thu Oct 14 23:53:01 YEKT 2021","23161","","com.geekbrains.lesson5.ActionsExamplesTest","","com.geekbrains.lesson5.ActionsExamplesTest","iframeTest","iframeTest()",""
"passed","Thu Oct 14 23:51:55 YEKT 2021","Thu Oct 14 23:51:55 YEKT 2021","13","","com.geekbrains.lesson4.FunctionsTest","","com.geekbrains.lesson4.FunctionsTest","isNumberPrimeTest","[1] 2",""
"passed","Thu Oct 14 23:51:55 YEKT 2021","Thu Oct 14 23:51:55 YEKT 2021","6","","com.geekbrains.lesson4.FunctionsTest","","com.geekbrains.lesson4.FunctionsTest","objectAsExampleTest","[2] Cat{age=11, name='moris2'}, false",""
"skipped","Thu Oct 14 23:51:55 YEKT 2021","Thu Oct 14 23:51:55 YEKT 2021","0","","com.geekbrains.lesson4.FunctionsTest","","com.geekbrains.lesson4.FunctionsTest","testGivenEvenNumberWhenCheckIsEvenThenTrue","Четное число передали в метод...",""
"passed","Thu Oct 14 23:51:49 YEKT 2021","Thu Oct 14 23:51:49 YEKT 2021","81","","com.geekbrains.AppTest","","com.geekbrains.AppTest","shouldAnswerWithTrue1","shouldAnswerWithTrue1()",""
"passed","Thu Oct 14 23:53:40 YEKT 2021","Thu Oct 14 23:54:45 YEKT 2021","64624","","com.geekbrains.lesson5.Homework.CreateProjectTest","","com.geekbrains.lesson5.Homework.CreateProjectTest","checkNavbarLinkNameTest","checkNavbarLinkNameTest()",""
"passed","Thu Oct 14 23:51:58 YEKT 2021","Thu Oct 14 23:52:22 YEKT 2021","24844","","com.geekbrains.lesson5.ActionsExamplesTest","","com.geekbrains.lesson5.ActionsExamplesTest","dragAndDropTest","dragAndDropTest()",""
"passed","Thu Oct 14 23:51:53 YEKT 2021","Thu Oct 14 23:51:53 YEKT 2021","7","","com.geekbrains.lesson4.BoxTest.WhenIsEmpty","","com.geekbrains.lesson4.BoxTest$WhenIsEmpty","removeBallFromEmptyBoxTest","removeBallFromEmptyBoxTest()","Удалить мяч из пустой коробки"
"passed","Thu Oct 14 23:51:52 YEKT 2021","Thu Oct 14 23:51:52 YEKT 2021","28","","com.geekbrains.lesson4.AssumptionsExamplesTest","","com.geekbrains.lesson4.AssumptionsExamplesTest","softAssertionsTest","softAssertionsTest()",""
"passed","Thu Oct 14 23:51:54 YEKT 2021","Thu Oct 14 23:51:54 YEKT 2021","27","","com.geekbrains.lesson4.FunctionsTest","","com.geekbrains.lesson4.FunctionsTest","isNumberPrimeTest2","[2] 3, true",""
"passed","Thu Oct 14 23:51:52 YEKT 2021","Thu Oct 14 23:51:52 YEKT 2021","15","","com.geekbrains.lesson4.AssertJExamplesTest","","com.geekbrains.lesson4.AssertJExamplesTest","isNumberPrimeWithAssertJTest","isNumberPrimeWithAssertJTest()",""
